gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ntn4,2158.638163101426,-3.6745353748333756,0.5144690042433556,-7.142384370148053,9.172567060382832e-13,1.4314162758554182e-10
Gm15433,210.8740751639232,5.911775531701908,0.828943135317979,7.131702139537202,9.913522682911804e-13,1.5332324992267701e-10
Sh2d2a,696.6153910561301,7.555325283423351,1.060177083752074,7.126474811815673,1.0297207156182873e-12,1.5784798438884934e-10
A430027H14Rik,328.2983950068613,2.7009451247843215,0.37919272079228894,7.1228823146735,1.0569306393786439e-12,1.6059782925716552e-10
Btg2,15185.857193275051,-4.732655754817555,0.6647387915032732,-7.11957210156924,1.082626413677e-12,1.6166598911821546e-10
Rangap1,1133.7583489529436,-2.4006344839601357,0.33715376218848037,-7.120295702404471,1.076957564716631e-12,1.6166598911821546e-10
Xist,2381.8236518786457,3.6614124151647975,0.5154931119962012,7.102737805722183,1.2230931673782787e-12,1.800566277068728e-10
Bex1,1672.3089063155614,3.705768485963445,0.5217668640984768,7.102345397817421,1.2265721088448788e-12,1.800566277068728e-10
Dag1,11021.987942815542,-3.0900677022127105,0.43638214687773913,-7.081104770948507,1.4300972560158293e-12,2.0809859435376867e-10
Pim3,3812.1916221862825,-2.4290109201107257,0.34308101370108834,-7.079992255785446,1.4416251773728347e-12,2.0809859435376867e-10
mt-Tq,251.0497236526454,5.664708716776713,0.8016057793494132,7.066701441916019,1.5865979443743713e-12,2.2713264125994095e-10
Slc35f1,154.3378095718585,-5.802507829869064,0.822029474880588,-7.058758848898897,1.6799632198232548e-12,2.3468002333692274e-10
C4b,9609.398807824082,4.931775197784904,0.6985063737648607,7.060458405273043,1.6595421762284543e-12,2.3468002333692274e-10
Cyba,17977.93668254721,3.1050597779002347,0.43983086026625706,7.059667836905642,1.6690107875679882e-12,2.3468002333692274e-10
Kank2,1968.3840607755938,-2.339486745117164,0.33167073348945714,-7.053642389558407,1.7429397459622462e-12,2.4152961823646423e-10
Maged1,13842.534269155602,-1.717452281370105,0.24371825875812156,-7.046875724951704,1.8297960078225996e-12,2.5155338450399263e-10
Prrc2c,2137.2622808618826,1.7444658858121445,0.2478227997376709,7.039166241599734,1.9339352653594214e-12,2.63776587925637e-10
Irs2,2405.38998635642,-2.975114262903314,0.42438224213722947,-7.010458891777268,2.3753772910812764e-12,3.214553549696084e-10
Ermp1,2490.0362801456045,-2.733223986172409,0.3899547523698415,-7.009079821599816,2.398905729816181e-12,3.2212282985950297e-10
RP24-162F23.9,762.1076369152423,3.307042179116643,0.4728505185352103,6.993842767395395,2.674572934205745e-12,3.5637655666393783e-10
Axin1,1852.9347307853348,-2.263989056369271,0.3239848934346937,-6.987946358757087,2.789389890639017e-12,3.6883825714235924e-10
mt-Te,1073.2308800274975,4.640814578871145,0.6643778686366486,6.985203448143797,2.844434830222775e-12,3.7326742522059775e-10
Drosha,1398.7953742540485,-1.6197699572926851,0.23214458848799108,-6.977418546960772,3.0065301894463497e-12,3.915723003127043e-10
Spry1,1678.0693932110487,-3.338089277838691,0.4789181625137596,-6.970061983695983,3.1680137593453328e-12,4.0952488312970043e-10
Cd63,40470.24199020693,2.62115993783252,0.376118000216178,6.968982968977766,3.1924034035382295e-12,4.09620827822883e-10
Efemp1,5519.942424469736,2.1774169748761256,0.3129068758668649,6.958674106613655,3.434900578122064e-12,4.374952045164e-10
Gm2564,748.2154696930837,5.526652979086106,0.7945972001256979,6.955288765442215,3.5184060146114987e-12,4.448600655846743e-10
Prkacb,3382.867864935319,-2.0496014662883937,0.29494425584832146,-6.949114707771848,3.675855820453655e-12,4.61399815376074e-10
Irs1,381.26357211168323,-5.193933289217796,0.7485011514245363,-6.939111956384809,3.945723516770303e-12,4.881987339821085e-10
Pld3,19948.667639417206,2.4988118924632166,0.36008686761081227,6.939469659204492,3.9357463535129375e-12,4.881987339821085e-10
Ccnt2,2851.4992565715606,2.4336028410487427,0.35081885646556576,6.936921423115153,4.007365698842925e-12,4.923091392578521e-10
Tpt1,25781.791033933627,1.9809251716976328,0.28585868697548794,6.929735781888255,4.216273504824118e-12,5.143259834546716e-10
Jak1,10020.4131055597,-1.5852577401785588,0.22973243979092228,-6.900452289721424,5.1837229312510585e-12,6.27919221084831e-10
Gm37158,670.6862835109104,3.338319675677717,0.4838568093010174,6.899395878091031,5.222414962177388e-12,6.28212999825255e-10
