gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm13889,1725.4145297311177,3.500142919164677,0.37535281453355956,9.324941185040018,1.1104516366650717e-20,8.014684687630155e-18
Cnpy2,5727.810655273154,-2.0092742788157567,0.2180759715351408,-9.213643597098372,3.152385469816285e-20,2.1842248443263075e-17
Cd14,3717.947250142041,4.4519218779522935,0.48467069950380914,9.185457017537956,4.097834898053306e-20,2.730103696310745e-17
Klf2,8449.463803045839,3.149809967019208,0.344017914840636,9.155947499066542,5.388285480764109e-20,3.456884485103552e-17
Klf4,1783.3347184310715,5.13253143448274,0.5608356306374669,9.151578740902947,5.610749530326557e-20,3.471050120154165e-17
Col4a2,13139.482168038332,3.268068754328929,0.367726186428361,8.887234238254614,6.26488423389231e-19,3.6620505235037586e-16
Btg2,15185.857193275051,5.908717950654007,0.6649566878205776,8.885868897747415,6.342311263428748e-19,3.6620505235037586e-16
Nfkbiz,4491.010908641005,5.17308087921785,0.5865961311037677,8.818811793872438,1.1568068961312783e-18,6.463938404769678e-16
Klf6,9529.605212523478,3.3813558174177776,0.3882759482944869,8.708640935063011,3.075397892313531e-18,1.6647513215829684e-15
Sil1,3390.0217946347275,-1.0570826411210228,0.12230841823172882,-8.642762750134219,5.4869781930436675e-18,2.8801647351485577e-15
Gadd45g,6540.591366655226,2.88126205468583,0.3335654630199086,8.637770914891941,5.732041102386335e-18,2.92030635222165e-15
Trib1,1839.3323615733837,4.056330212685128,0.4734785646306577,8.567083107234884,1.0613929172072667e-17,5.2529851748183635e-15
Mcl1,13796.029442436638,3.3563753081194885,0.39193721562182315,8.563553483418188,1.0944106686588665e-17,5.265939334030246e-15
Gadd45gip1,2349.5288042664556,-1.7233784888015924,0.20265539148513217,-8.503985392009806,1.8319059981731958e-17,8.576290729825973e-15
Dennd5b,731.6698706345691,2.9664767599930655,0.34927993966926274,8.493120912704168,2.0116082544637008e-17,9.169757416794796e-15
Pim1,599.7510573680489,3.782459093533355,0.44602339424185605,8.480405158932802,2.2441109801128213e-17,9.967305230131869e-15
Tiparp,5357.743867141652,3.165782401486564,0.37513309869656103,8.439091118556066,3.198147115501589e-17,1.384957608367963e-14
Rasip1,3441.2096092584156,3.4314852047119726,0.4083491236246251,8.403312279093722,4.3405842302186443e-17,1.8338439033133503e-14
Hba-a2,8881.107377382488,-3.9813832687159283,0.474040152380127,-8.39883129883754,4.509441139688158e-17,1.859822367182816e-14
Wnt4,9714.231692729682,-2.245945611999376,0.2699480767882655,-8.31991706968518,8.802487981481392e-17,3.545969693377225e-14
Snhg20,2066.2080505633116,-4.321498226880865,0.5231078464339626,-8.261199399589609,1.4421593826318516e-16,5.677519278624757e-14
Ubc,108780.84388768279,2.1499825871908786,0.2606795188224145,8.247608392493367,1.6159590455148219e-16,6.220365019201722e-14
Cxcl10,2511.9373434955487,6.044433323175651,0.7362986269242272,8.209214443907534,2.2264028711651514e-16,8.383858811809295e-14
Adamts1,15274.249836533249,5.765685919396319,0.7026700568639728,8.205395780102918,2.2983248875213956e-16,8.470549723754386e-14
Il1rn,740.4748716010989,7.096739386663737,0.8652628755554667,8.201830434603927,2.3675408983630624e-16,8.543863216967702e-14
Prr12,474.2212711682798,-3.6167655524414015,0.4415706130798087,-8.190684446176478,2.5974477678268013e-16,9.182242904958337e-14
Col14a1,206.93717538812223,4.381768162834876,0.5365594284794595,8.166417232201557,3.176831847633837e-16,1.1005816252942666e-13
RP23-56M18.5,329.626186219848,-3.995162379479274,0.4907413360442058,-8.141075727762603,3.9178124057516554e-16,1.305083586392888e-13
Ehd4,8243.793734287472,3.0444953598231312,0.3739412664778307,8.141640500122833,3.899576682216069e-16,1.305083586392888e-13
Msn,15171.016127216257,2.587654891562148,0.31844200791451166,8.125984723274401,4.4374492441623735e-16,1.4502923737241628e-13
Map4k1,358.19016486470036,8.16283941326592,1.014163281664967,8.048841405365085,8.358147045398626e-16,2.6811078355628704e-13
Nenf,5960.370475538114,-1.943832670778731,0.242983272484091,-7.999862093000665,1.2455863709091037e-15,3.9229176576159077e-13
Ier5,3350.813425003955,2.997208897761016,0.37652862861468306,7.960108926612804,1.7188789250870842e-15,5.316860846492584e-13
Nme3,1068.909317034954,-2.163340618708509,0.27244502660711506,-7.940466543469698,2.014221798357873e-15,6.121114033535978e-13
Adap1,488.4973624732589,7.1929858155330875,0.9078930383761418,7.922723835836948,2.3236327797806014e-15,6.939649484717168e-13
Fxyd1,10015.88023244119,-3.808198942970222,0.48329368037875475,-7.87967874933882,3.2822384365317625e-15,9.63642952501749e-13
Dusp1,22908.621123582405,5.403051311944302,0.6874906108659977,7.859091057459457,3.8693088881277135e-15,1.117069476002471e-12
Dusp6,4625.99239602726,3.782356709502192,0.48340474800150013,7.8244095142616485,5.100452315775708e-15,1.4483612297355216e-12
Speer4cos,379.46174232093944,-3.4178988498408156,0.43697438554655504,-7.821737298321973,5.20992469377593e-15,1.4555857346062365e-12
Mgarp,27311.618339726803,-3.919298149764502,0.5013168342296352,-7.8180062630197105,5.36665215071612e-15,1.4755737865826134e-12
Ets1,4089.3153359755015,3.20519548178129,0.4113822402822925,7.791283064582149,6.6332122754637926e-15,1.795320359930997e-12
RP24-162F23.9,762.1076369152423,-3.680043043721839,0.4726412358903973,-7.786123520917712,6.909640131365279e-15,1.841365943930913e-12
Hba-a1,2984.810425469284,-4.036367677560414,0.5193654388190073,-7.771729452654321,7.742167664229484e-15,2.031967095148229e-12
Zfyve21,3094.3116338409177,-2.2197640197418336,0.2857529949928437,-7.768121624752962,7.96585554834914e-15,2.059470892664236e-12
Gm20631,156.06754053509187,-4.4125851924668344,0.5693732240693871,-7.749899373436451,9.196539642441862e-15,2.3426832306820285e-12
Lcp1,9479.592507297179,3.5530232847637,0.46072899162612546,7.711742367727804,1.2411148476904503e-14,3.1157378828542e-12
Pcdhga8,2081.337941338637,-3.279874066449509,0.4255007494800006,-7.708268599897424,1.2753610915111558e-14,3.155972118165177e-12
Speer4b,219.03217426112178,-4.766465765769324,0.6208420181922674,-7.6774213505201345,1.6232284215377003e-14,3.960220101109302e-12
1110001J03Rik,2569.061424596634,-2.903364400521999,0.3792879828025625,-7.654775611578864,1.9365007162687772e-14,4.6588979732233e-12
AI607873,1475.0688829534975,3.417447775654775,0.44903248671966084,7.610691601893718,2.726330682528982e-14,6.469246586680414e-12
Csf1r,7754.565895972962,3.089898731198094,0.40710107809948115,7.5900038035345885,3.1989609822378386e-14,7.488162450584303e-12
Csnk2a1,1579.2355269642424,-2.317781919446407,0.30631474198361414,-7.566667880354232,3.829192283097461e-14,8.843902497041896e-12
Ephx3,80.75176659311062,5.714153023693164,0.7571051339065993,7.547370593313259,4.4413347287556505e-14,1.012273686467176e-11
Creb5,96.88591802489714,5.216361945033287,0.6922874064139903,7.534965820126279,4.884627530557418e-14,1.0988508842118908e-11
Cebpd,3111.2933202679706,2.9518208605831537,0.3920664327026937,7.528879328523228,5.1177651594965675e-14,1.1365375396512761e-11
