gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mertk,2738.0190811601187,3.262257198741038,0.5073763109646894,6.429660053577222,1.2788963484811114e-10,1.6898686750684144e-08
Rac2,3008.3519754787844,2.858012720409437,0.44546209553430616,6.415838180308955,1.4005014852067393e-10,1.8359802541107877e-08
Atp6v0d2,7264.758693753515,5.4799198801348075,0.8563410537962345,6.3992259343889275,1.5616661683224234e-10,2.031264065343752e-08
Fabp4,10567.069842032153,3.977379313398249,0.626751729579249,6.346020482573449,2.209558296092439e-10,2.851700470670001e-08
Nrros,2606.298844644673,2.823361415863427,0.4453672516051676,6.339400586117697,2.306607924032448e-10,2.954055025170479e-08
Srd5a1,1529.288343830245,-3.2140060862835464,0.5073226579451544,-6.335230717471731,2.36986377632255e-10,3.011897863511002e-08
Gadd45g,6540.591366655226,2.1091466405487123,0.33362034451037675,6.321996470701176,2.5820527907317814e-10,3.256711887340411e-08
Gpr37,392.4624198522069,-3.8854750726191614,0.6157849655581704,-6.309792037707875,2.7941065991742454e-10,3.497675245838497e-08
H2-T23,11181.364560987087,2.222154739343863,0.352469216217996,6.304535650482168,2.8905918635056583e-10,3.591452532500426e-08
Tyrobp,15504.246485885073,3.8086643996480913,0.6045645115418552,6.299847786193467,2.979380786877255e-10,3.6743489422755124e-08
Cd163l1,409.13387501291936,12.94122846580257,2.0576320676367743,6.2893792672398385,3.1873788487363205e-10,3.901961062691985e-08
Csf2rb2,1115.8262057177392,3.189414149985623,0.5072202753592361,6.2880257452775075,3.2152859998963077e-10,3.907393913304644e-08
Sh2d2a,696.6153910561301,6.571623654008789,1.0486740402669534,6.266602778052842,3.690098629815961e-10,4.451916817956952e-08
Gpr155,1011.4390581206594,-3.065756677765251,0.48963937898041204,-6.261254321801385,3.818931074376751e-10,4.574200248726513e-08
Glipr1,1848.4347651033156,3.8731730678561784,0.6194845979185508,6.252250791819393,4.0457901159806765e-10,4.811311402925877e-08
Crip1,7631.98802449957,2.839656408323668,0.4560157587007773,6.227101485295288,4.751433648659933e-10,5.610398497626895e-08
H2-Q7,6031.285887823965,3.4413612421487905,0.5529310208555026,6.223852727279197,4.850924565833642e-10,5.6875382462369234e-08
Plekho1,1536.4033578003448,2.678501793191455,0.43116676637566126,6.21221764308654,5.224199884150948e-10,6.082356914071966e-08
Fam83f,221.83090522840897,11.741018326325614,1.9044008134780297,6.165203376952383,7.039260765491791e-10,8.082527757563643e-08
Ctsk,1669.3974731931066,3.8350246417609672,0.6220116644161996,6.165518849811924,7.025240016865162e-10,8.082527757563643e-08
Cxcl9,180.04582572512118,8.834813266751185,1.4408198882874197,6.13179574946899,8.689261797371102e-10,9.908734223591197e-08
Gdf15,1063.214878914894,6.7021569369393,1.0940195769677463,6.126176421372112,9.001599370513293e-10,1.005823006172321e-07
